Airtemp,Rel.Hum,Rain,W.Speed,leaf wetness hr.,Bacterial leaf spot,Downy mildew,Powdery mildew,Alternariablight,Rhizopusrot,Girdle beetle
26.2,80,0.4,0.4,0.67,1,0,0,0,1,0
26.5,76,0,0.5,0,0,0,0,0,0,1
26.6,76,0,0.3,0,0,0,0,0,0,1
26.3,78,0,0.2,0.42,0,0,0,0,0,1
23.5,98,29.2,0,24,0,0,0,0,0,0
23,99,40.2,0,24,0,0,0,0,0,0
24.3,93,4.2,0.6,15.83,1,0,0,0,0,0
23.9,94,5,0.4,15.5,0,0,0,0,0,0
23.1,91,3.2,0.3,6.42,0,0,0,0,0,0
25.5,82,0,0.4,0,1,0,0,0,0,0
25.2,82,0,0.5,0.17,1,0,0,0,0,0
26,78,0,0.5,0,0,0,0,0,0,1
26.2,75,0,0.5,0,0,0,0,0,0,1
26.3,75,0,0.4,0,0,0,0,0,0,1
26.6,72,0,0.6,0.08,0,0,0,0,0,1
26.5,75,0.4,0.2,0.58,0,0,0,0,1,0
26,80,0,0.3,7.08,1,0,0,0,0,1
26.2,82,1.4,0.1,10.42,1,0,0,0,1,0
27.1,77,0,0.2,5.33,0,0,0,0,0,1
26.8,75,0,0.4,0.25,0,0,0,0,0,1
25.4,80,0,0.2,0,1,0,0,0,0,1
25.7,81,0.2,0.2,0,1,0,0,0,1,0
27,77,0,0.2,3.17,0,0,0,0,0,1
27.1,74,0,0.2,0,0,0,0,0,0,1
24.9,87,1.6,0.1,2.83,1,0,0,0,1,0
25.1,86,0.4,0.2,5,1,0,0,0,1,0
26.3,78,0,0.2,0,0,0,0,0,0,1
26.5,75,0,0.2,0,0,0,0,0,0,1
25.9,78,0,0.1,0,0,0,0,0,0,1
26.2,76,0,0.2,0,0,0,0,0,0,1
26,78,0,0.3,1.25,0,0,0,0,0,1
24.3,89,2.2,0.1,2.92,1,0,0,0,1,0
25.5,83,0.8,0.2,4.83,1,0,0,0,1,0
24.7,86,3.8,0.1,3.92,1,0,0,0,1,0
25.1,82,0.2,0.1,1.42,1,0,0,0,1,0
25.7,80,0,0.2,0,1,0,0,0,0,1
27.1,76,0.4,0.2,0,0,0,0,0,1,0
26.5,78,0,0.2,0,0,0,0,0,0,1
26.7,77,0,0.2,0,0,0,0,0,0,1
26.5,78,0.4,0.3,3.42,0,0,0,0,1,0
26.2,79,0.6,0.2,1.08,0,0,0,0,1,0
25.8,78,0,0.3,0.17,0,0,0,0,0,1
25.6,79,0.6,0.2,6.5,0,0,0,0,1,0
24.7,83,0.4,0.1,5.08,1,0,0,0,1,0
25.7,80,0,0.2,3,1,0,0,0,0,1
24.5,82,0,0.1,0.33,1,0,0,0,0,0
23.4,89,1.4,0.1,8.83,0,0,0,0,1,0
23.4,92,1.2,0.1,11.67,0,0,0,0,0,0
23.5,92,3.2,0.1,16.25,0,0,0,0,0,0
22.2,97,3.8,0,20.92,0,0,0,0,0,0
22.7,97,7.4,0.1,19.5,0,0,0,0,0,0
23.2,95,5.4,0.1,18.67,0,0,0,0,0,0
22.6,99,14,0.1,23.42,0,0,0,0,0,0
22.1,100,30.2,0,24,0,0,0,0,0,0
22.9,98,11.2,0,22.67,0,0,0,0,0,0
23.1,97,7,0,16.92,0,0,0,0,0,0
23.5,95,2,0.1,10.42,0,0,0,0,0,0
24.6,92,5.2,0.3,9.67,1,0,0,0,0,0
24.9,89,0.2,0.3,0,1,0,0,0,1,0
24.3,91,1.6,0.3,10.08,1,0,0,0,0,0
23.7,94,3,0.2,19.5,0,0,0,0,0,0
24.6,89,0.4,0.4,10.42,1,0,0,0,1,0
22.7,98,21.6,0.1,22.67,0,0,0,0,0,0
23.5,98,19.4,0.1,22.25,0,0,0,0,0,0
24.1,94,2,0.1,13.75,1,0,0,0,0,0
23.7,95,1.4,0.2,14.92,0,0,0,0,0,0
23.4,96,2.2,0.1,16.67,0,0,0,0,0,0
23.9,93,1.4,0.2,3.58,0,0,0,0,0,0
24.6,89,0,0.2,0,1,0,0,0,0,0
24.2,91,1.8,0.1,13.42,1,0,0,0,0,0
23.5,95,3.2,0.1,10.33,0,0,0,0,0,0
23.4,95,2.8,0.1,15.92,0,0,0,0,0,0
23.1,96,1.2,0.1,5.5,0,0,0,0,0,0
22.6,98,3.6,0,21.08,0,0,0,0,0,0
23.3,94,4,0.2,16.42,0,0,0,0,0,0
23.9,93,3.8,0.1,19,0,0,0,0,0,0
24.1,91,0.2,0.1,9.75,1,0,0,1,0,0
24.4,87,0,0.1,0,1,0,0,0,0,0
23.9,88,0,0.2,0,0,0,0,0,0,0
24,86,0,0.1,5.08,1,0,0,0,0,0
24.1,84,0.2,0.1,2.08,1,0,0,0,1,0
23.8,85,0.2,0,2.08,0,0,0,0,1,0
23.1,88,0,0,0,0,0,0,0,0,0
23.2,87,0,0,0,0,0,0,0,0,0
24,84,0,0,0,1,0,0,0,0,0
24.8,81,0,0,0,1,0,0,0,0,0
24.7,82,0,0,0,1,0,0,0,0,0
25.4,80,0,0,0,1,0,0,0,0,1
23.5,95,0,0,0,0,0,0,0,0,0
24,92,0,0,0,1,0,0,0,0,0
24.6,91,3.8,0,4.75,1,0,0,0,0,0
25.1,92,0.2,0,11.58,1,0,0,0,0,0
22.7,95,1.4,0,7.33,0,0,0,0,0,0
22.8,89,0.8,0.1,13.42,0,0,0,0,1,0
23.1,92,2,0.1,9.75,0,0,0,0,0,0
24.5,84,0,0.1,4.5,1,0,0,0,0,0
24.4,84,0,0.1,5.67,1,0,0,0,0,0
24.1,83,0.2,0.1,2.75,1,0,0,0,1,0
25.3,81,0.6,0.1,0,1,0,0,0,1,0
24.7,81,0,0.1,1,1,0,0,0,0,0
25,86,2.4,0.1,7.25,1,0,0,0,1,0
25.6,89,2.6,0.1,17.17,1,0,0,0,1,0
25.5,88,4.6,0.2,15.33,1,0,0,0,1,0
25,90,0.8,0.1,12.92,1,0,0,0,1,0
24.7,87,7.8,0.2,13.75,1,0,0,0,1,0
25.5,86,0.2,0.3,10,1,0,0,0,1,0
24.7,89,38.2,0.2,9.08,1,0,0,0,1,0
24.1,91,39.8,0.3,16.42,1,0,0,0,0,0
24.9,89,3.4,0.4,10.92,1,0,0,0,1,0
25.9,86,0.8,0.2,7.17,1,0,0,0,1,0
26.1,83,5.6,0.3,10.5,1,0,0,0,1,0
25,86,3.2,0.3,9.83,1,0,0,0,1,0
25.7,87,1.2,0.3,9.17,1,0,0,0,1,0
25.2,88,0.2,0,8.92,1,0,0,0,1,0
25,86,0,0,0,1,0,0,0,0,0
25.5,84,0,0.1,4.58,1,0,0,0,0,0
24.7,89,3,0.1,7.83,1,0,0,0,1,0
24.1,89,0,0,9.58,1,0,0,0,0,0
24.5,87,0.2,0.1,4.58,1,0,0,0,1,0
25.2,85,0,0,0,1,0,0,0,0,0
25.6,85,0,0.1,0,1,0,0,0,0,0
25.4,83,0,0,0,1,0,0,0,0,0
25.4,79,0,0.1,0,0,0,0,0,0,1
25.2,83,0,0.1,0,1,0,0,0,0,0
24.9,78,0.2,0.1,2.83,0,0,0,0,1,0
25.4,79,0,0.1,0,0,0,0,0,0,1
25.5,74,0,0.3,0,0,0,0,0,0,1
23.7,67,0.2,0.3,0,0,1,0,0,1,0
22.4,63,0.2,0.3,0,0,1,0,0,1,0
22.3,64,0,0.5,0,0,1,0,0,0,1
22.2,62,0.4,0.6,0.08,0,1,0,1,1,0
21.8,60,0,0.5,2.58,0,1,1,0,0,1
21.7,59,0,0.5,0.92,0,0,1,0,0,0
21.6,57,0,0.6,0.25,0,0,1,0,0,0
22.9,61,0,0.6,0,0,1,0,0,0,1
23.9,66,0.4,0.4,0,0,1,0,0,1,0
24.4,67,0,0.6,5.17,0,1,0,0,0,1
24.3,63,0,0.7,1.83,0,1,0,0,0,1
23,59,0,0.5,1.83,0,0,1,0,0,0
22.6,62,0,0.5,3.58,0,1,0,0,0,1
22.8,67,0.2,0.4,0.33,0,1,0,0,1,0
24.1,69,0.2,0.6,5.67,0,1,0,0,1,0
23.7,66,0,0.7,4.75,0,1,0,0,0,1
24.8,62,0,0.9,0,0,1,0,0,0,1
24.8,70,0.2,0.8,0.83,0,1,0,0,1,0
25.1,74,0.2,0.8,5,0,0,0,0,1,0
24.3,71,0.4,0.4,4.5,0,0,0,0,1,0
23.1,60,0.2,0.6,4.75,0,1,1,0,1,0
21.5,61,0,0.5,0,0,1,0,0,0,1
20.6,62,0,0.4,0.67,0,1,0,0,0,1
23.9,60,0.2,0.4,0,0,1,1,0,1,0
25.5,77,3.8,0.5,4.67,0,0,0,0,1,0
23.6,89,4.6,0.1,10,0,0,0,0,1,0
22.1,98,3.4,0.1,15.58,0,0,0,0,0,0
23.3,91,0.2,0.1,11.25,0,0,0,0,0,0
24.5,86,0.2,0.3,8.92,1,0,0,0,1,0
23.6,85,0,0.3,8.5,0,0,0,0,0,0
23.5,81,0,0.3,6.5,0,0,0,0,0,0
23.8,79,0,0.2,2.75,0,0,0,0,0,1
23.4,79,0.2,0,5.25,0,0,0,0,1,0
23,71,0,0.1,8.75,0,0,0,0,0,1
22.4,74,0,0.2,8.5,0,0,0,0,0,1
22.3,69,0,0.2,8.42,0,1,0,0,0,1
20.9,69,0,0.2,6.33,0,1,0,0,0,1
20.3,70,0,0.3,6.58,0,1,0,0,0,1
19.7,67,0.2,0.3,5.83,0,1,0,0,0,0
19.2,68,0,0.3,5,0,1,0,0,0,1
19,68,0,0.4,7.17,0,1,0,0,0,1
19,70,0.2,0.3,6.67,0,1,0,1,0,0
19.1,71,0,0.4,8.5,0,0,0,1,0,1
19.1,70,0,0.4,8.17,0,1,0,1,0,1
18.5,66,0,0.4,7.92,0,1,0,0,0,1
18.8,66,0,0.2,4.67,0,1,0,0,0,1
18.4,68,0.2,0.2,6.92,0,1,0,0,0,0
18,69,0,0.2,7.42,0,1,0,0,0,1
18.7,69,0,0.3,4.5,0,1,0,0,0,1
17.7,69,0,0.3,8.83,0,1,0,0,0,1
17.3,68,0.2,0.3,6.92,0,1,0,0,0,0
17.8,65,0,0.2,4.42,0,1,0,0,0,1
17.7,67,0,0.1,4.83,0,1,0,0,0,1
18.5,67,0,0.2,2.67,0,1,0,0,0,1
19,67,0,0.3,4.33,0,1,0,0,0,1
18.8,66,0,0.2,5.17,0,1,0,0,0,1
19.1,63,0,0.1,5.83,0,1,0,0,0,1
18.1,64,0,0.2,3,0,1,0,0,0,1
17.7,70,0,0.3,2.42,0,1,0,1,0,1
17.7,70,0.2,0.2,2.08,0,1,0,1,0,0
17.1,73,0,0.3,7.08,0,0,0,1,0,1
17.9,71,0,0.3,7.75,0,0,0,1,0,1
18.7,68,0,0.1,7.75,0,1,0,0,0,1
18.3,67,0.2,0.1,6.5,0,1,0,0,0,0
17.7,67,0,0.1,8.33,0,1,0,0,0,1
17.8,64,0,0,5.5,0,1,0,0,0,1
17.9,69,0.2,0,7.08,0,1,0,0,0,0
18,75,0,0,12.08,0,0,0,1,0,1
18.7,79,0,0,12.25,0,0,0,1,0,1
18.9,73,0,0,9.58,0,0,0,1,0,1
19,72,0,0.1,7,0,0,0,1,0,1
